                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2989,                 2.5013,                 1.3948,                0.65098,                0.57461,                0.62454,                 0.3931,                 1.2537,                 1.5342,                 1.3953,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.2229,                 1.5681,                 1.3402,                0.65015,                0.54843,                0.59299,                0.36327,                 1.3422,                 1.5162,                 1.4192,              0.0066382,              0.0066382,              0.0066382
                      3,                 1.2701,                 1.5484,                 1.3456,                0.51668,                0.38126,                0.36833,                0.20707,                 1.5651,                 2.2238,                 1.5635,              0.0099276,              0.0099276,              0.0099276
                      4,                 1.2819,                 1.4797,                 1.3506,                0.65187,                0.53914,                0.58497,                0.35848,                 1.3942,                 1.4803,                 1.3834,               0.009901,               0.009901,               0.009901
                      5,                 1.2423,                 1.3364,                 1.3224,                0.70546,                0.60378,                0.67433,                0.43171,                 1.2735,                 1.2857,                 1.3078,               0.009868,               0.009868,               0.009868
                      6,                 1.2122,                 1.2496,                 1.3077,                0.76865,                0.65319,                0.73976,                0.48481,                 1.2328,                 1.0987,                 1.2858,               0.009835,               0.009835,               0.009835
                      7,                 1.1943,                 1.1939,                 1.2954,                0.76748,                0.67344,                0.75329,                0.49984,                 1.2076,                 1.0443,                 1.2718,               0.009802,               0.009802,               0.009802
                      8,                 1.1773,                 1.1514,                 1.2872,                0.81437,                0.74521,                0.81825,                 0.5464,                 1.1621,                0.89439,                 1.2315,               0.009769,               0.009769,               0.009769
                      9,                 1.1703,                  1.123,                  1.281,                0.82062,                0.76607,                0.83433,                0.56172,                 1.1454,                 0.8445,                 1.2256,               0.009736,               0.009736,               0.009736
                     10,                 1.1636,                 1.0992,                 1.2767,                0.83306,                0.76245,                0.83581,                0.56413,                 1.1318,                0.83804,                 1.2161,               0.009703,               0.009703,               0.009703
                     11,                 1.1539,                 1.0781,                 1.2714,                0.82728,                0.76533,                0.84035,                0.57445,                 1.1241,                0.81159,                  1.209,                0.00967,                0.00967,                0.00967
                     12,                  1.145,                 1.0597,                 1.2659,                0.82745,                0.77817,                0.84616,                0.57683,                 1.1269,                0.77944,                 1.2041,               0.009637,               0.009637,               0.009637
                     13,                 1.1394,                  1.047,                 1.2599,                0.85321,                0.80616,                0.87124,                0.60186,                 1.0934,                0.71373,                 1.1835,               0.009604,               0.009604,               0.009604
                     14,                 1.1391,                 1.0396,                   1.26,                0.85549,                0.81573,                0.87587,                0.61001,                 1.0789,                0.70335,                 1.1772,               0.009571,               0.009571,               0.009571
                     15,                 1.1333,                 1.0262,                 1.2574,                0.86315,                0.81334,                0.87674,                0.60965,                 1.0839,                 0.6974,                 1.1758,               0.009538,               0.009538,               0.009538
